League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
06/23/2019 13:00,NOR1,Brann,Brann,Lillestrom,1,0,57,4,1,3,0,0,2,0,13,0,6,0,0,0,0,0,53,37,57,6,4,2,0,0,3,2,19,1,2,0,0,0,0,0,75,36,433,3,1,1,0,0,1
06/23/2019 13:00,NOR1,Lillestrom,Brann,Lillestrom,0,1,43,0,0,0,0,0,1,2,12,1,7,0,0,0,0,0,49,21,43,2,1,1,0,0,2,1,9,3,7,0,1,0,0,0,50,20,4411,0,-1,0,0,1,1
06/23/2019 11:00,NOR1,Kristiansund,Kristiansund,Stabaek,0,1,62,2,2,0,0,0,10,2,12,1,4,0,0,0,0,0,65,39,48,10,4,6,0,0,1,1,16,0,9,0,3,0,0,0,43,38,433,0,1,0,0,1,-1
06/23/2019 11:00,NOR1,Stabaek,Kristiansund,Stabaek,1,0,38,3,1,2,0,0,0,1,9,2,7,0,0,0,0,0,35,16,52,3,1,2,0,0,3,2,9,4,2,0,1,0,0,0,49,18,442,3,-1,1,0,0,-1
06/23/2019 11:00,NOR1,Odd,Odd,Haugesund,3,1,63,5,2,3,0,0,5,2,12,0,5,0,1,0,0,0,59,39,47,5,3,2,0,0,3,1,7,3,6,0,0,0,0,0,52,24,433,3,1,1,0,0,1
06/23/2019 11:00,NOR1,Haugesund,Odd,Haugesund,1,3,37,2,0,2,0,0,1,1,12,1,9,0,0,0,0,0,49,14,53,4,4,0,0,0,3,1,10,1,9,0,2,0,0,0,58,45,4411,0,-1,0,0,1,1
06/23/2019 11:00,NOR1,Ranheim,Ranheim,Mjondalen,1,1,50,6,4,2,0,0,5,0,10,1,10,0,1,0,0,0,70,29,56,5,3,2,0,0,5,0,10,1,5,0,1,0,0,0,68,49,433,1,1,0,1,0,0
06/23/2019 11:00,NOR1,Mjondalen,Ranheim,Mjondalen,1,1,50,2,2,0,0,0,1,1,8,3,5,0,1,0,0,0,40,16,44,5,1,4,0,0,1,1,4,3,4,0,0,0,0,0,34,19,433,1,-1,0,1,0,0
06/23/2019 11:00,NOR1,Tromso,Tromso,Rosenborg,1,0,45,5,2,3,0,0,3,1,9,2,4,0,0,0,0,0,32,16,53,5,3,2,0,0,5,2,7,2,7,0,2,0,0,0,23,11,3511,3,1,1,0,0,1
06/23/2019 11:00,NOR1,Rosenborg,Tromso,Rosenborg,0,1,55,3,2,1,0,0,4,1,9,2,4,0,0,0,0,0,63,28,48,7,2,5,0,0,5,1,12,2,4,0,2,0,0,0,58,44,433,0,-1,0,0,1,1
06/23/2019 11:00,NOR1,Viking,Viking,Bodo/Glimt,3,4,51,3,2,1,0,0,1,1,12,2,6,0,0,0,0,0,45,16,67,9,4,5,0,0,5,1,19,2,3,0,0,0,0,0,60,34,433,0,1,0,0,1,-1
06/23/2019 11:00,NOR1,Bodo/Glimt,Viking,Bodo/Glimt,4,3,49,5,4,1,0,0,2,0,16,1,9,0,2,0,0,0,55,11,33,5,4,1,0,0,4,1,8,2,5,0,1,0,0,0,28,23,433,3,-1,1,0,0,-1
06/23/2019 08:00,NOR1,Valerenga,Valerenga,Sarpsborg_08,1,1,59,5,3,2,0,0,2,3,9,1,5,0,0,0,0,0,48,13,32,3,0,3,0,0,2,1,10,1,5,0,1,0,0,0,64,27,4231,1,1,0,1,0,0
06/23/2019 08:00,NOR1,Sarpsborg_08,Valerenga,Sarpsborg_08,1,1,41,5,2,3,0,0,2,2,14,2,3,0,0,0,0,0,56,15,68,4,1,3,0,0,1,0,8,0,5,0,1,0,0,0,53,25,442,1,-1,0,1,0,0
06/22/2019 11:00,NOR1,Stromsgodset,Stromsgodset,Molde,0,4,60,0,0,0,0,0,4,0,10,0,7,0,0,0,0,0,63,26,54,3,0,3,0,0,1,2,5,1,7,0,2,0,0,0,69,21,433,0,1,0,0,1,-1
06/22/2019 11:00,NOR1,Molde,Stromsgodset,Molde,4,0,40,4,4,0,0,0,1,1,14,0,5,0,1,0,0,0,41,7,46,2,1,1,0,0,0,0,9,0,6,0,1,0,0,0,51,17,4231,3,-1,1,0,0,-1
