League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/08/2019 12:00,NOR1,Rosenborg,Rosenborg,Odd,1,1,52,5,1,4,0,0,2,2,13,2,11,0,0,0,0,0,46,25,52,0,0,0,0,0,3,0,16,1,8,0,0,0,0,0,51,25,4213,1,1,0,1,0,0
04/08/2019 12:00,NOR1,Odd,Rosenborg,Odd,1,1,48,2,2,0,0,0,1,0,12,0,3,0,2,0,0,0,48,14,48,8,2,6,0,0,3,1,12,0,4,0,0,0,0,0,52,15,433,1,-1,0,1,0,0
04/07/2019 13:00,NOR1,Brann,Brann,Stromsgodset,1,1,53,3,0,3,0,0,3,1,15,2,7,0,1,0,0,0,68,24,79,9,4,5,0,0,3,4,14,0,6,0,0,0,0,0,96,50,433,1,1,0,1,0,0
04/07/2019 13:00,NOR1,Stromsgodset,Brann,Stromsgodset,1,1,47,4,3,1,0,0,0,1,12,0,5,0,1,0,0,0,42,9,21,1,0,1,0,0,0,0,6,3,6,0,3,0,0,0,31,8,451,1,-1,0,1,0,0
04/07/2019 11:00,NOR1,Haugesund,Haugesund,Sarpsborg_08,1,1,43,4,1,3,0,0,2,1,17,1,9,0,0,0,0,0,47,27,43,2,1,1,0,0,5,1,13,0,11,0,1,0,0,0,42,34,4411,1,1,0,1,0,0
04/07/2019 11:00,NOR1,Sarpsborg_08,Haugesund,Sarpsborg_08,1,1,57,2,1,1,0,0,3,0,11,0,7,0,0,0,0,0,61,22,57,1,1,0,0,0,3,0,6,1,10,0,1,0,0,0,52,26,352,1,-1,0,1,0,0
04/07/2019 11:00,NOR1,Kristiansund,Kristiansund,Valerenga,2,0,45,5,3,2,0,0,3,1,17,2,5,0,0,0,0,0,43,24,52,8,3,5,0,0,5,7,7,1,5,0,1,0,0,0,38,31,4213,3,1,1,0,0,1
04/07/2019 11:00,NOR1,Valerenga,Kristiansund,Valerenga,0,2,55,4,2,2,0,0,5,0,12,2,7,0,1,0,0,0,47,27,48,2,1,1,0,0,0,0,12,2,10,1,2,0,0,0,51,14,4231,0,-1,0,0,1,1
04/07/2019 11:00,NOR1,Lillestrom,Lillestrom,Ranheim,2,1,51,4,1,3,0,0,1,0,16,2,7,0,0,0,0,0,67,21,51,2,1,1,0,0,4,1,20,1,7,0,0,0,0,0,55,35,442,3,1,1,0,0,1
04/07/2019 11:00,NOR1,Ranheim,Lillestrom,Ranheim,1,2,49,4,2,2,0,0,1,0,7,0,1,0,0,0,0,0,56,19,49,4,2,2,0,0,3,0,15,0,6,0,1,0,0,0,52,12,433,0,-1,0,0,1,1
04/07/2019 11:00,NOR1,Molde,Molde,Stabaek,3,0,55,8,8,0,0,0,4,1,11,2,3,0,0,0,0,0,70,38,55,9,6,3,0,0,3,4,6,0,4,0,0,0,0,0,68,37,433,3,1,1,0,0,1
04/07/2019 11:00,NOR1,Stabaek,Molde,Stabaek,0,3,45,3,2,1,0,0,2,1,2,6,2,0,0,0,0,0,42,17,45,1,0,1,0,0,1,2,10,5,2,0,1,0,0,0,49,14,4231,0,-1,0,0,1,1
04/07/2019 11:00,NOR1,Tromso,Tromso,Viking,0,2,54,5,3,2,0,0,4,0,14,1,10,0,1,0,0,0,63,34,62,3,0,3,0,0,6,0,11,0,5,0,2,0,0,0,73,38,433,0,1,0,0,1,-1
04/07/2019 11:00,NOR1,Viking,Tromso,Viking,2,0,46,4,2,2,0,0,3,0,7,3,8,0,0,0,0,0,49,17,38,1,1,0,0,0,1,0,3,0,6,0,3,0,0,0,36,9,433,3,-1,1,0,0,-1
04/06/2019 11:00,NOR1,Mjondalen,Mjondalen,Bodo/Glimt,4,5,41,7,3,4,0,0,2,2,17,1,1,0,0,0,0,0,52,18,43,5,4,1,0,0,2,2,12,3,10,0,2,0,0,0,26,17,433,0,1,0,0,1,-1
04/06/2019 11:00,NOR1,Bodo/Glimt,Mjondalen,Bodo/Glimt,5,4,59,4,3,1,0,0,2,1,12,2,4,0,1,0,0,0,55,30,57,8,6,2,0,0,5,2,8,1,6,0,1,0,0,0,52,22,433,3,-1,1,0,0,-1
