,Home,Away,HomeOdds,DrawOdds,AwayOdds,Round
135,CSA,Santo,4.54,3.35,1.81,3
136,Palmeiras,Internaciona,1.59,3.70,5.78,3
137,Sao_Paulo,Flamengo_R,1.99,3.27,3.83,3
138,Vasco,Corinthian,3.09,3.06,2.38,3
139,Botafogo_RJ,Bahi,2.26,2.99,3.41,2
140,Santos,Fluminens,1.62,3.66,5.59,2
141,Avai,Gremi,3.69,3.09,2.10,2
142,Cruzeiro,Cear,1.46,3.94,7.44,2
143,Fortaleza,Athletico-P,3.40,3.08,2.21,2
144,Goias,Sao_Paul,3.02,2.97,2.48,2
145,Vasco,Atletico-M,3.14,3.16,2.29,2
146,Corinthians,Chapecoense-S,1.62,3.41,6.35,2
147,CSA,Palmeira,6.86,3.85,1.51,2
148,Internacional,Flamengo_R,2.33,3.08,3.16,2
149,Fluminense,Goia,1.75,3.49,4.72,1
150,Palmeiras,Fortalez,1.35,4.66,8.48,1
151,Athletico-PR,Vasc,1.45,4.03,7.33,1
152,Atletico-MG,Ava,1.53,3.90,6.25,1
153,Bahia,Corinthian,2.22,3.05,3.43,1
154,Ceara,CS,1.83,3.32,4.47,1
155,Chapecoense-SC,Internaciona,2.92,2.92,2.59,1
156,Flamengo_RJ,Cruzeir,2.20,3.11,3.38,1
157,Gremio,Santo,1.70,3.41,5.32,1
158,Sao_Paulo,Botafogo_R,1.74,3.35,5.06,1
