League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
05/19/2019 17:00,BRZ1,Ceara,Ceara,Gremio,2,1,36,3,1,1,1,9,2,1,0,2,9,0,1,122,83,15,52,27,36,3,0,3,0,8,0,1,0,1,5,0,2,160,114,17,65,28,442,3,1,1,0,0,1
05/19/2019 17:00,BRZ1,Gremio,Ceara,Gremio,1,2,64,9,3,5,1,10,2,0,0,0,9,0,2,223,195,7,71,46,64,8,1,5,2,6,5,1,0,0,7,0,4,268,226,6,96,59,4231,0,-1,0,0,1,1
05/19/2019 17:00,BRZ1,Vasco,Vasco,Avai,1,1,56,4,0,2,2,8,3,0,0,4,10,0,0,206,167,10,46,27,44,7,2,4,1,9,2,3,0,1,6,0,1,152,108,10,55,15,4231,1,1,0,1,0,0
05/19/2019 17:00,BRZ1,Avai,Vasco,Avai,1,1,44,9,4,5,0,8,6,0,0,0,9,0,0,153,114,11,43,34,56,9,2,3,4,9,4,3,0,1,5,0,2,194,152,7,62,24,4141,1,-1,0,1,0,0
05/19/2019 14:00,BRZ1,Athletico-PR,Athletico-PR,Corinthians,0,2,61,11,0,7,4,7,4,1,0,0,6,0,0,297,259,10,74,33,63,12,5,5,2,6,7,2,0,0,10,0,1,284,257,10,70,44,433,0,1,0,0,1,-1
05/19/2019 14:00,BRZ1,Corinthians,Athletico-PR,Corinthians,2,0,39,1,1,0,0,6,2,1,0,0,6,0,3,188,147,10,40,8,37,3,1,2,0,11,1,0,0,5,6,0,1,177,148,2,49,14,433,3,-1,1,0,0,-1
05/19/2019 14:00,BRZ1,Chapecoense-SC,Chapecoense-SC,Fortaleza,1,3,47,7,3,4,0,6,2,0,0,3,7,0,0,198,162,7,51,15,59,12,1,7,4,8,7,0,0,2,9,0,1,222,188,4,70,39,4141,0,1,0,0,1,-1
05/19/2019 14:00,BRZ1,Fortaleza,Chapecoense-SC,Fortaleza,3,1,53,6,4,0,2,7,0,1,0,2,5,0,1,235,190,6,52,17,41,6,4,2,0,9,4,1,0,1,7,0,0,159,118,7,43,15,442,3,-1,1,0,0,-1
05/19/2019 14:00,BRZ1,Goias,Goias,Botafogo_RJ,1,0,31,10,2,6,2,8,2,2,0,0,8,0,0,146,123,5,38,34,33,9,3,5,1,4,7,5,0,2,10,0,1,91,65,10,34,30,4231,3,1,1,0,0,1
05/19/2019 14:00,BRZ1,Botafogo_RJ,Goias,Botafogo_RJ,0,1,69,4,0,1,3,10,2,0,0,2,8,0,0,349,314,2,45,13,67,3,2,1,0,14,1,0,0,2,6,0,3,220,188,2,44,12,4141,0,-1,0,0,1,1
05/19/2019 14:00,BRZ1,Internacional,Internacional,CSA,2,0,67,7,3,2,2,5,1,2,0,3,5,0,1,307,258,4,60,42,59,7,4,3,0,6,3,2,0,2,6,0,1,295,265,5,58,36,433,3,1,1,0,0,1
05/19/2019 14:00,BRZ1,CSA,Internacional,CSA,0,2,33,6,3,2,1,7,1,1,0,2,4,0,3,144,100,2,55,20,41,6,2,4,0,8,2,1,0,3,5,0,0,198,166,8,47,16,4231,0,-1,0,0,1,1
05/19/2019 09:00,BRZ1,Sao_Paulo,Sao_Paulo,Bahia,0,0,62,4,1,1,2,10,3,3,0,1,4,0,1,256,220,5,82,29,54,7,2,2,3,10,1,0,0,1,5,1,0,254,226,6,70,21,4231,1,1,0,1,0,0
05/19/2019 09:00,BRZ1,Bahia,Sao_Paulo,Bahia,0,0,38,8,1,4,3,7,5,0,0,1,10,0,1,154,111,12,49,10,46,9,1,7,1,5,1,1,0,2,9,0,2,217,177,12,58,19,433,1,-1,0,1,0,0
05/18/2019 17:00,BRZ1,Atletico-MG,Atletico-MG,Flamengo_RJ,2,1,37,10,4,4,2,4,2,0,0,3,6,1,0,136,98,4,31,15,33,1,1,0,0,4,0,0,0,6,5,0,3,123,92,6,0,0,4231,3,1,1,0,0,1
05/18/2019 17:00,BRZ1,Flamengo_RJ,Atletico-MG,Flamengo_RJ,1,2,63,8,4,2,2,6,4,0,0,3,4,0,1,247,204,4,52,28,67,15,6,5,4,5,14,0,0,0,4,0,0,233,201,16,0,0,4231,0,-1,0,0,1,1
05/18/2019 17:00,BRZ1,Palmeiras,Palmeiras,Santos,4,0,41,10,4,2,4,13,3,0,0,1,11,0,0,133,89,11,42,27,25,7,4,1,2,6,2,0,0,3,12,0,0,110,77,9,0,0,433,3,1,1,0,0,1
05/18/2019 17:00,BRZ1,Santos,Palmeiras,Santos,0,4,59,6,1,4,1,12,2,1,0,2,12,0,0,184,141,8,57,22,75,6,3,1,2,11,3,0,0,2,7,0,0,299,260,6,0,0,433,0,-1,0,0,1,1
05/18/2019 16:00,BRZ1,Fluminense,Fluminense,Cruzeiro,4,1,62,10,3,0,7,6,6,0,0,1,8,0,0,312,284,4,67,32,44,13,8,3,2,6,3,0,0,1,11,0,3,183,150,3,44,24,4231,3,1,1,0,0,1
05/18/2019 16:00,BRZ1,Cruzeiro,Fluminense,Cruzeiro,1,4,38,2,1,1,0,9,1,0,0,2,6,0,1,190,146,11,30,16,56,3,2,1,0,12,1,1,0,5,6,0,1,253,211,15,62,16,4231,0,-1,0,0,1,1
