League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
07/22/2019 18:00,BRZ1,Sao_Paulo,Sao_Paulo,Chapecoense-SC,4,0,58,8,1,2,5,15,2,0,0,1,15,0,1,244,198,16,55,19,39,11,5,1,5,6,3,0,0,1,14,0,0,151,121,15,33,19,433,3,1,1,0,0,1
07/22/2019 18:00,BRZ1,Chapecoense-SC,Sao_Paulo,Chapecoense-SC,0,4,42,3,1,1,1,15,0,2,0,1,13,0,0,169,132,8,65,13,61,5,1,4,0,15,3,1,0,1,6,0,3,235,204,5,56,14,433,0,-1,0,0,1,1
07/21/2019 17:00,BRZ1,Avai,Avai,Goias,0,0,63,5,1,3,1,14,2,1,0,2,5,0,0,271,225,5,63,20,59,10,2,3,5,6,3,0,0,2,11,0,4,216,173,1,59,26,4231,1,1,0,1,0,0
07/21/2019 17:00,BRZ1,Goias,Avai,Goias,0,0,37,6,2,1,3,5,2,0,0,1,13,0,2,160,116,11,42,22,41,5,2,1,2,11,1,0,0,2,6,0,0,142,93,6,50,11,4231,1,-1,0,1,0,0
07/21/2019 14:00,BRZ1,Atletico-MG,Atletico-MG,Fortaleza,2,2,55,8,3,4,1,5,1,0,0,2,7,0,0,235,202,7,60,35,49,11,4,7,0,5,2,0,0,0,8,0,1,177,145,7,49,25,4231,1,1,0,1,0,0
07/21/2019 14:00,BRZ1,Fortaleza,Atletico-MG,Fortaleza,2,2,45,7,2,4,1,8,2,0,0,1,6,0,3,186,153,3,49,22,51,4,2,2,0,7,0,0,0,4,6,0,1,196,156,5,52,18,4231,1,-1,0,1,0,0
07/21/2019 14:00,BRZ1,Corinthians,Corinthians,Flamengo_RJ,1,1,40,7,1,3,3,8,3,1,0,1,12,0,1,148,121,3,48,27,48,6,1,5,0,7,1,0,0,1,8,0,0,168,133,8,49,27,4141,1,1,0,1,0,0
07/21/2019 14:00,BRZ1,Flamengo_RJ,Corinthians,Flamengo_RJ,1,1,60,4,1,2,1,12,3,0,0,1,7,0,0,228,186,13,50,20,52,2,2,0,0,4,2,0,0,0,10,1,5,183,146,4,51,16,4141,1,-1,0,1,0,0
07/21/2019 09:00,BRZ1,Botafogo_RJ,Botafogo_RJ,Santos,0,1,45,6,1,3,2,10,4,0,0,1,4,0,1,220,188,5,40,13,57,3,0,1,2,5,5,1,0,2,8,1,2,217,190,6,42,28,4141,0,1,0,0,1,-1
07/21/2019 09:00,BRZ1,Santos,Botafogo_RJ,Santos,1,0,55,4,1,3,0,4,1,1,0,1,9,0,2,282,245,6,53,22,43,9,3,5,1,9,1,0,0,0,5,1,2,161,133,6,40,24,343,3,-1,1,0,0,-1
07/20/2019 17:00,BRZ1,Ceara,Ceara,Palmeiras,2,0,42,5,1,3,1,9,2,1,0,4,11,0,1,140,105,8,38,15,42,4,3,0,1,6,1,0,0,2,15,0,2,146,116,5,41,16,442,3,1,1,0,0,1
07/20/2019 17:00,BRZ1,Palmeiras,Ceara,Palmeiras,0,2,58,9,4,2,3,12,4,0,0,0,9,0,1,189,159,11,58,24,58,12,2,7,3,15,5,1,0,2,4,0,1,178,149,8,55,37,4231,0,-1,0,0,1,1
07/20/2019 17:00,BRZ1,CSA,CSA,Athletico-PR,0,4,50,5,1,3,1,11,1,1,0,2,5,0,0,168,130,5,30,18,52,5,0,4,1,17,2,2,0,3,7,0,2,202,166,7,49,23,4231,0,1,0,0,1,-1
07/20/2019 17:00,BRZ1,Athletico-PR,CSA,Athletico-PR,4,0,50,6,3,3,0,10,4,0,0,1,13,0,0,170,135,4,33,15,48,8,6,1,1,4,2,0,0,0,15,0,1,195,151,8,36,17,4231,3,-1,1,0,0,-1
07/20/2019 17:00,BRZ1,Internacional,Internacional,Gremio,1,1,43,6,2,2,2,6,1,0,0,0,7,0,1,211,175,11,48,15,43,5,2,1,2,7,0,0,0,2,7,0,2,204,159,7,60,25,4141,1,1,0,1,0,0
07/20/2019 17:00,BRZ1,Gremio,Internacional,Gremio,1,1,57,3,0,3,0,7,1,0,0,1,6,0,0,319,273,10,73,28,57,7,3,2,2,7,1,0,0,2,8,0,2,244,194,10,63,15,4231,1,-1,0,1,0,0
07/20/2019 15:00,BRZ1,Bahia,Bahia,Cruzeiro,0,0,60,4,0,2,2,5,2,1,0,3,10,1,2,271,228,8,63,28,54,8,1,6,1,5,3,0,0,1,7,0,1,246,222,9,69,38,4141,1,1,0,1,0,0
07/20/2019 15:00,BRZ1,Cruzeiro,Bahia,Cruzeiro,0,0,40,6,3,3,0,11,2,1,0,0,4,0,0,175,130,4,57,17,46,6,1,3,2,6,3,1,0,1,4,0,1,208,179,8,46,30,433,1,-1,0,1,0,0
07/20/2019 09:00,BRZ1,Vasco,Vasco,Fluminense,2,1,36,7,1,3,3,12,3,2,0,1,11,0,2,161,129,8,40,19,52,9,4,3,2,11,0,2,0,0,14,0,2,230,199,6,59,17,4141,3,1,1,0,0,1
07/20/2019 09:00,BRZ1,Fluminense,Vasco,Fluminense,1,2,64,2,2,0,0,13,1,1,0,1,11,0,2,292,258,5,53,11,48,3,0,3,0,16,1,0,0,2,11,2,2,207,170,11,35,7,4231,0,-1,0,0,1,1
