League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
4/28/19 18:00,BRZ1,Fluminense,9.16823E+66,0,1,81,8,0,5,3,6,3,1,0,1,5,0,0,325,301,1,59,7,3,3,1,2,2,0,0,0,10,0,4,272,239,10,433,0,1,0,0,1,-1
4/28/19 18:00,BRZ1,Goias,2.39261E+67,1,0,19,2,1,1,0,7,4,0,0,0,6,0,1,72,46,8,41,6,1,5,0,8,1,0,0,3,3,0,1,163,120,8,4231,3,-1,1,0,0,-1
4/28/19 18:00,BRZ1,Palmeiras,1.97988E+67,4,0,57,7,3,2,2,9,1,0,0,1,5,0,1,206,162,9,49,11,6,3,2,8,5,3,0,4,7,0,0,173,139,15,4231,3,1,1,0,0,1
4/28/19 18:00,BRZ1,Fortaleza,2.43017E+67,0,4,43,2,1,1,0,6,1,1,0,2,7,0,1,156,109,3,51,6,4,1,1,9,0,0,0,3,9,0,1,191,171,2,442,0,-1,0,0,1,1
4/28/19 15:00,BRZ1,Athletico-PR,2.69327E+67,4,1,65,10,5,3,2,10,3,0,0,1,7,0,0,281,245,3,45,10,5,3,2,11,1,2,0,2,8,0,1,223,195,9,4231,3,1,1,0,0,1
4/28/19 15:00,BRZ1,Vasco,9.85692E+66,1,4,35,6,1,4,1,7,0,1,0,3,8,0,0,148,126,10,55,5,3,2,0,10,0,0,0,3,10,0,1,225,195,5,352,0,-1,0,0,1,1
4/28/19 15:00,BRZ1,Bahia,9.00779E+66,3,2,38,6,2,4,0,2,1,0,0,0,11,0,0,162,120,11,50,9,4,4,1,3,3,1,0,1,6,0,1,191,145,9,4231,3,1,1,0,0,1
4/28/19 15:00,BRZ1,Corinthians,2.03322E+67,2,3,62,3,1,0,2,11,0,0,0,1,2,0,1,271,212,8,50,6,2,3,1,7,4,0,0,2,3,0,3,202,158,10,4141,0,-1,0,0,1,1
4/28/19 15:00,BRZ1,Ceara,2.32892E+67,4,0,48,6,4,2,0,4,3,1,0,0,5,0,0,201,157,7,60,10,4,3,3,1,0,1,0,1,10,0,0,295,277,5,4231,3,1,1,0,0,1
4/28/19 15:00,BRZ1,CSA,1.12291E+67,0,4,52,3,0,3,0,6,5,0,0,2,4,1,0,212,162,6,40,3,1,2,0,11,1,1,0,2,0,0,0,202,177,5,4231,0,-1,0,0,1,1
4/28/19 10:00,BRZ1,Gremio,1.3261E+67,1,2,62,8,2,3,3,7,7,1,0,2,7,0,2,285,238,12,66,17,9,5,3,12,5,1,0,1,5,0,1,311,263,10,4231,0,1,0,0,1,-1
4/28/19 10:00,BRZ1,Santos,1.5891E+67,2,1,38,5,4,1,0,8,1,1,0,2,6,0,0,182,130,6,34,3,1,2,0,6,1,0,0,8,12,1,3,155,104,7,343,3,-1,1,0,0,-1
4/27/19 20:00,BRZ1,Flamengo_RJ,9.67424E+66,3,1,56,6,1,1,4,7,0,0,0,0,7,0,1,255,218,5,60,13,4,4,5,11,6,0,0,0,6,0,3,261,223,8,4231,3,1,1,0,0,1
4/27/19 20:00,BRZ1,Cruzeiro,2.18686E+67,1,3,44,2,1,0,1,6,0,1,0,0,6,0,1,208,169,7,40,0,0,0,0,6,2,0,0,2,11,1,5,185,143,4,4231,0,-1,0,0,1,1
4/27/19 18:00,BRZ1,Atletico-MG,8.7802E+66,2,1,77,8,2,6,0,10,3,0,0,0,7,0,0,396,361,8,43,3,1,2,0,9,1,0,0,0,5,0,0,152,113,7,4231,3,1,1,0,0,1
4/27/19 18:00,BRZ1,Avai,1.52805E+67,1,2,23,1,0,1,0,7,0,1,0,1,10,0,0,118,84,5,57,5,1,3,1,5,4,0,0,0,8,0,1,244,201,9,4231,0,-1,0,0,1,1
4/27/19 18:00,BRZ1,Chapecoense-SC,4.40864E+66,2,0,53,6,3,2,1,9,1,0,0,2,6,0,0,234,183,5,33,6,4,2,0,4,2,0,0,5,9,0,1,161,121,9,4231,3,1,1,0,0,1
4/27/19 18:00,BRZ1,Internacional,2.03091E+67,0,2,47,4,2,2,0,6,5,1,0,2,9,0,1,198,143,8,67,16,5,7,4,9,0,1,0,3,2,0,0,311,267,14,433,0,-1,0,0,1,1
4/27/19 15:00,BRZ1,Sao_Paulo,4.65158E+66,2,0,38,3,1,0,2,7,3,1,0,1,10,0,0,155,118,6,20,4,3,1,0,1,0,1,0,1,13,0,0,116,87,6,433,3,1,1,0,0,1
4/27/19 15:00,BRZ1,Botafogo_RJ,2.57786E+67,0,2,62,4,1,0,3,11,1,1,0,0,6,0,3,260,222,13,80,7,1,2,4,14,1,0,0,2,1,0,1,442,406,4,4141,0,-1,0,0,1,1
