League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
08/07/2019 17:15,BRZ1,Corinthians,Corinthians,Goias,2,0,70,12,4,6,2,6,3,0,0,0,7,0,0,329,301,4,70,53,56,7,2,2,3,7,3,0,0,3,6,0,1,245,212,8,63,36,4141,3,1,1,0,0,1
08/07/2019 17:15,BRZ1,Goias,Corinthians,Goias,0,2,30,4,0,3,1,7,2,2,0,3,4,0,0,141,106,4,31,21,44,7,3,1,3,6,3,2,0,1,7,1,2,170,144,7,43,36,433,0,-1,0,0,1,1
06/02/2019 17:00,BRZ1,Atletico-MG,Atletico-MG,CSA,4,0,73,14,4,5,5,4,5,2,0,0,1,0,0,388,354,6,48,33,69,13,3,8,2,6,6,0,0,0,1,0,0,381,342,4,58,37,4231,3,1,1,0,0,1
06/02/2019 17:00,BRZ1,CSA,Atletico-MG,CSA,0,4,27,7,0,4,3,3,1,0,0,2,5,0,2,137,104,5,44,20,31,5,0,3,2,1,1,0,0,1,6,0,1,167,135,6,42,30,4231,0,-1,0,0,1,1
06/02/2019 17:00,BRZ1,Chapecoense-SC,Chapecoense-SC,Palmeiras,1,2,43,6,2,2,2,9,1,1,0,3,4,0,0,169,130,7,46,16,65,12,2,7,3,11,2,0,0,1,10,0,2,241,204,5,62,34,4231,0,1,0,0,1,-1
06/02/2019 17:00,BRZ1,Palmeiras,Chapecoense-SC,Palmeiras,2,1,57,8,5,3,0,6,4,0,0,1,10,0,2,222,190,11,63,18,35,6,1,2,3,9,1,0,0,2,11,0,3,132,85,10,57,16,4231,3,-1,1,0,0,-1
06/02/2019 17:00,BRZ1,Internacional,Internacional,Avai,2,0,66,2,1,1,0,8,1,1,0,0,7,0,0,365,319,11,61,22,60,9,6,3,0,5,4,2,0,1,4,0,0,315,275,8,62,22,4231,3,1,1,0,0,1
06/02/2019 17:00,BRZ1,Avai,Internacional,Avai,0,2,34,10,0,2,8,8,3,0,0,1,8,0,0,179,134,10,70,22,40,4,1,1,2,6,4,1,0,4,4,0,0,203,164,10,58,37,433,0,-1,0,0,1,1
06/02/2019 14:00,BRZ1,Athletico-PR,Athletico-PR,Fluminense,3,0,51,8,6,2,0,11,2,0,0,0,11,0,1,0,0,0,34,20,51,5,3,2,0,6,4,1,0,0,4,0,0,0,0,0,7,10,4231,3,1,1,0,0,1
06/02/2019 14:00,BRZ1,Fluminense,Athletico-PR,Fluminense,0,3,49,2,0,2,0,11,2,0,14,4,11,1,2,0,0,0,27,10,49,0,0,0,0,10,2,0,7,2,4,0,1,0,0,0,10,12,433,0,-1,0,0,1,1
06/02/2019 14:00,BRZ1,Ceara,Ceara,Santos,0,1,30,7,2,5,0,12,0,0,0,0,3,0,0,116,73,9,49,20,50,6,1,4,1,11,2,0,0,2,11,0,2,184,147,9,77,31,442,0,1,0,0,1,-1
06/02/2019 14:00,BRZ1,Santos,Ceara,Santos,1,0,70,5,0,5,0,4,0,1,0,2,12,0,1,276,235,10,66,29,50,7,3,4,0,11,0,1,0,1,10,0,0,190,149,11,41,17,433,3,-1,1,0,0,-1
06/02/2019 14:00,BRZ1,Sao_Paulo,Sao_Paulo,Cruzeiro,1,1,36,5,2,0,3,7,2,0,0,2,8,0,0,176,129,7,48,15,44,8,2,3,3,9,3,0,0,1,7,1,2,192,155,9,57,35,4231,1,1,0,1,0,0
06/02/2019 14:00,BRZ1,Cruzeiro,Sao_Paulo,Cruzeiro,1,1,64,5,2,3,0,8,5,3,0,1,4,0,1,307,257,7,83,16,56,9,2,4,3,7,4,1,0,2,8,0,2,261,222,17,60,21,4231,1,-1,0,1,0,0
