League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
05/18/2019 05:00,JP1,G-Osaka,25288996196467069381723074202319955899965237197458730157087625107417,1,0,57,5,2,3,0,4,2,2,0,2,6,0,0,326,0,10,45,6,1,5,0,8,0,2,0,2,6,0,0,214,0,16,442,3,1,1,0,0,1
05/18/2019 05:00,JP1,C-Osaka,9379043907148681469912573764471360752304545483186507996424426661232,0,1,43,4,2,2,0,8,0,0,0,2,4,0,1,220,0,17,55,8,2,6,0,8,2,0,0,0,8,0,0,300,0,8,442,0,-1,0,0,1,1
05/18/2019 02:00,JP1,Oita,2885764814548894276926400612303898441863443477622320398462679169850,1,1,69,4,1,3,0,4,2,0,0,4,3,0,1,444,0,5,65,7,3,4,0,6,7,1,0,1,7,0,2,308,0,4,343,1,1,0,1,0,0
05/18/2019 02:00,JP1,Shimizu,20040564689349383462705478647281338122330893292361178846126799443330,1,1,31,7,5,2,0,2,0,0,0,1,4,0,0,163,0,3,35,6,1,5,0,8,2,0,0,2,6,0,1,174,0,4,442,1,-1,0,1,0,0
05/18/2019 01:00,JP1,Kashima,4196245969068186223034392365739249594166695836893574532579079780890,5,0,69,10,3,7,0,7,7,1,0,1,5,0,0,303,0,11,52,4,4,0,0,8,3,2,0,2,4,0,0,253,0,12,442,3,1,1,0,0,1
05/18/2019 01:00,JP1,Yamaga,5152160968020653588368301713562173418849941119435067518794398247800,0,5,31,3,1,2,0,6,0,1,0,2,6,0,0,101,0,11,48,3,2,1,0,6,0,2,0,0,7,0,1,226,0,12,352,0,-1,0,0,1,1
05/18/2019 00:00,JP1,FC_Tokyo,25761376114469815702903512838621258197390868179672640189077709806268,2,0,45,5,3,2,0,10,7,3,0,1,6,0,1,188,0,10,45,7,3,4,0,5,1,0,0,3,9,0,0,191,0,10,433,3,1,1,0,0,1
05/18/2019 00:00,JP1,Sapporo,2241648638029914517776267486710370180234226226401216828149467567932,0,2,55,4,1,3,0,9,2,0,0,3,10,0,1,241,0,6,55,6,3,3,0,9,2,0,0,1,5,0,0,278,0,5,433,0,-1,0,0,1,1
05/18/2019 00:00,JP1,Iwata,21113602172018634849213640505188741730663865533717992988839950919223,2,0,48,7,4,3,0,5,2,0,0,0,7,0,0,256,0,9,44,9,7,2,0,6,3,2,0,3,8,0,1,164,0,11,433,3,1,1,0,0,1
05/18/2019 00:00,JP1,Vegalta_Sendai,7809494096275569048641065598574690915786357635383918633229954718299,0,2,52,4,0,4,0,7,2,0,0,2,5,0,0,250,0,6,56,9,3,6,0,10,6,2,0,7,4,0,1,263,0,11,433,0,-1,0,0,1,1
05/18/2019 00:00,JP1,Yokohama_M.,16094920739936548237032227990675930372657339450634973912855699429460,4,1,58,6,2,4,0,12,1,1,0,3,5,0,0,342,0,7,55,9,3,6,0,14,2,1,0,3,6,0,0,291,0,4,4213,3,1,1,0,0,1
05/18/2019 00:00,JP1,Kobe,10699480890510115862819528383202209775422954578987147442466341067218,1,4,42,7,3,4,0,6,2,5,0,1,7,0,0,197,0,14,45,6,4,2,0,7,1,5,0,0,9,0,2,185,0,1,442,0,-1,0,0,1,1
05/17/2019 05:30,JP1,Urawa,12277803513596284668678681490685672364591056843865351348739412613579,2,3,44,7,2,5,0,9,1,0,0,0,11,0,0,159,0,19,54,10,0,10,0,5,1,0,0,1,10,0,1,186,0,13,532,0,1,0,0,1,-1
05/17/2019 05:30,JP1,Shonan,21951827362008594648883536910653776723247785863029201883067385866188,3,2,56,4,0,4,0,11,0,0,0,0,9,0,1,178,0,14,46,10,4,6,0,10,3,0,0,0,5,0,3,195,0,10,3421,3,-1,1,0,0,-1
05/17/2019 05:00,JP1,Hiroshima,22379657337813113839422123288363214537262931752166586978660657845533,0,1,50,7,0,7,0,6,4,1,0,1,8,0,0,282,0,8,48,8,4,4,0,8,2,0,0,0,3,0,0,199,0,8,3421,0,1,0,0,1,-1
05/17/2019 05:00,JP1,Sagan_Tosu,14107688217751634115458862979298242762167742261476935255801736987466,1,0,50,2,1,1,0,9,2,1,0,0,6,0,1,254,0,5,52,2,0,2,0,2,3,2,0,4,5,0,1,236,0,12,442,3,-1,1,0,0,-1
05/17/2019 05:00,JP1,Kawasaki_Frontale,10560245902826127973398162666475706200810874341131383835747628649601,1,1,52,5,1,4,0,6,3,4,0,0,6,0,0,303,0,10,41,6,2,4,0,9,1,0,0,2,3,0,0,181,0,5,4231,1,1,0,1,0,0
05/17/2019 05:00,JP1,Nagoya,2647000823339939494669889684486809173375737948133929462600207704981,1,1,48,3,1,2,0,10,1,0,0,1,6,0,0,287,0,11,59,6,2,4,0,3,2,2,0,1,7,0,2,306,0,7,4231,1,-1,0,1,0,0
