League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
7/14/19 6:00,JP1,FC_Tokyo,2.57614E+67,0,3,42,10,1,9,0,7,4,0,0,1,5,0,0,205,0,8,52,0,0,0,0,2,1,0,0,5,5,0,0,243,0,7,442,0,1,0,0,1,-1
7/14/19 6:00,JP1,Kawasaki_Frontale,1.05602E+67,3,0,58,6,2,4,0,5,2,0,0,1,7,0,2,372,0,10,48,9,7,2,0,7,2,2,0,0,2,0,0,274,0,10,4231,3,-1,1,0,0,-1
7/14/19 6:00,JP1,Shonan,2.19518E+67,3,1,43,14,3,11,0,6,3,2,0,2,8,0,0,161,0,10,43,9,4,5,0,10,2,2,0,0,6,0,0,143,0,12,3421,3,1,1,0,0,1
7/14/19 6:00,JP1,Kobe,1.06995E+67,1,3,57,5,3,2,0,10,2,1,0,3,5,0,0,228,0,11,57,4,0,4,0,8,3,0,0,1,10,0,1,230,0,10,442,0,-1,0,0,1,1
7/13/19 6:30,JP1,Sagan_Tosu,1.41077E+67,0,2,52,5,1,4,0,5,3,0,0,2,6,0,0,237,0,7,54,3,1,2,0,5,4,1,0,2,6,0,0,226,0,4,442,0,1,0,0,1,-1
7/13/19 6:30,JP1,Hiroshima,2.23797E+67,2,0,48,2,2,0,0,6,1,0,0,1,5,0,0,270,0,6,46,6,4,2,0,7,4,0,0,1,5,0,1,196,0,12,3421,3,-1,1,0,0,-1
7/13/19 6:00,JP1,C-Osaka,9.37904E+66,3,0,46,6,1,5,0,5,3,2,0,1,3,0,1,225,0,8,46,6,4,2,0,3,2,1,0,1,3,0,1,206,0,15,442,3,1,1,0,0,1
7/13/19 6:00,JP1,Nagoya,2.647E+66,0,3,54,8,1,7,0,5,3,0,0,0,5,0,0,359,0,8,54,7,1,6,0,5,5,0,0,2,2,0,0,300,0,12,352,0,-1,0,0,1,1
7/13/19 6:00,JP1,G-Osaka,2.5289E+67,1,0,58,9,2,7,0,9,4,2,0,2,5,0,1,283,0,7,56,12,6,6,0,2,3,2,0,4,3,0,0,357,0,9,3142,3,1,1,0,0,1
7/13/19 6:00,JP1,Shimizu,2.00406E+67,0,1,42,4,2,2,0,7,3,4,0,2,5,0,0,225,0,7,44,6,4,2,0,5,2,0,0,5,2,0,1,237,0,9,4231,0,-1,0,0,1,1
7/13/19 6:00,JP1,Oita,2.88576E+66,2,1,59,3,1,2,0,6,2,1,0,0,1,0,0,354,0,4,51,3,1,2,0,10,0,0,0,2,6,0,1,249,0,12,532,3,1,1,0,0,1
7/13/19 6:00,JP1,Sapporo,2.24165E+66,1,2,41,6,1,5,0,2,0,1,0,0,5,0,1,251,0,11,49,10,2,8,0,6,1,1,0,0,9,0,3,283,0,9,3421,0,-1,0,0,1,1
7/13/19 6:00,JP1,Vegalta_Sendai,7.80949E+66,0,4,42,9,3,6,0,7,2,0,0,2,3,0,0,158,0,7,58,8,1,7,0,12,5,2,0,3,5,0,0,258,0,7,442,0,1,0,0,1,-1
7/13/19 6:00,JP1,Kashima,4.19625E+66,4,0,58,10,4,6,0,3,6,2,0,3,5,0,0,260,0,9,42,8,5,3,0,7,2,0,0,1,12,0,2,163,0,7,442,3,-1,1,0,0,-1
7/13/19 6:00,JP1,Yokohama_M.,1.60949E+67,3,1,67,14,4,10,0,6,3,1,0,0,5,0,0,410,0,10,59,9,2,7,0,9,2,1,0,1,7,0,0,285,0,7,4231,3,1,1,0,0,1
7/13/19 6:00,JP1,Urawa,1.22778E+67,1,3,33,0,0,0,0,6,1,2,0,3,4,0,1,142,0,9,41,5,2,3,0,8,1,7,0,0,3,0,1,159,0,7,3421,0,-1,0,0,1,1
7/13/19 5:00,JP1,Yamaga,5.15216E+66,0,1,45,5,2,3,0,6,5,3,0,1,8,0,0,173,0,4,47,6,0,6,0,5,3,0,0,1,7,0,2,131,0,11,343,0,1,0,0,1,-1
7/13/19 5:00,JP1,Iwata,2.11136E+67,1,0,55,8,1,7,0,11,1,1,0,2,5,0,0,208,0,7,53,8,2,6,0,7,3,0,0,0,5,0,0,192,0,11,3142,3,-1,1,0,0,-1
