League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
05/20/2018 03:00,JP1,Kobe,10699480890510115862819528383202209775422954578987147442466341067218,4,0,52,11,5,6,0,7,4,0,10,1,0,0,0,0,0,0,68,20,13,7,0,7,2,0,8,1,0,0,1,0,0,0,4231,3,1,1,0,0,1
05/20/2018 03:00,JP1,Sapporo,2241648638029914517776267486710370180234226226401216828149467567932,0,4,48,4,1,3,0,1,3,0,9,3,0,0,1,0,0,0,32,4,1,3,0,9,1,0,6,11,0,2,5,0,0,0,343,0,-1,0,0,1,1
05/20/2018 02:00,JP1,Hiroshima,22379657337813113839422123288363214537262931752166586978660657845533,0,2,54,7,3,4,0,8,5,0,13,2,0,0,0,0,0,0,50,3,3,0,0,4,4,0,14,3,0,0,0,0,0,0,442,0,1,0,0,1,-1
05/20/2018 02:00,JP1,C-Osaka,9379043907148681469912573764471360752304545483186507996424426661232,2,0,46,2,2,0,0,5,0,0,11,3,0,0,0,0,0,0,50,9,5,4,0,5,3,0,8,3,0,0,0,0,0,0,442,3,-1,1,0,0,-1
05/20/2018 01:00,JP1,Kawasaki_Frontale,10560245902826127973398162666475706200810874341131383835747628649601,3,0,71,9,8,1,0,8,2,0,1,0,0,0,0,0,0,0,45,5,3,2,0,6,0,0,4,3,0,0,0,0,0,0,4231,3,1,1,0,0,1
05/20/2018 01:00,JP1,Shimizu,20040564689349383462705478647281338122330893292361178846126799443330,0,3,29,1,0,1,0,4,1,0,4,6,0,0,0,0,0,0,55,7,3,4,0,12,3,0,16,2,0,0,1,0,0,0,442,0,-1,0,0,1,1
05/20/2018 01:00,JP1,Sagan_Tosu,14107688217751634115458862979298242762167742261476935255801736987466,0,0,46,3,2,1,0,8,4,0,14,1,0,0,3,0,0,0,34,3,0,3,0,7,0,0,5,7,0,0,1,0,0,0,4231,1,1,0,1,0,0
05/20/2018 01:00,JP1,FC_Tokyo,25761376114469815702903512838621258197390868179672640189077709806268,0,0,54,4,1,3,0,8,1,0,11,2,0,0,1,0,0,0,66,10,7,3,0,7,10,0,7,0,0,0,1,0,0,0,442,1,-1,0,1,0,0
05/20/2018 00:00,JP1,Kashima,4196245969068186223034392365739249594166695836893574532579079780890,1,2,47,1,0,1,0,9,1,0,9,3,0,0,1,0,0,0,57,3,3,0,0,11,2,0,18,5,0,0,1,0,0,0,442,0,1,0,0,1,-1
05/20/2018 00:00,JP1,Vegalta_Sendai,7809494096275569048641065598574690915786357635383918633229954718299,2,1,53,6,4,2,0,12,3,0,17,0,0,0,1,0,0,0,43,8,6,2,0,12,2,0,7,2,0,0,1,0,0,0,3142,3,-1,1,0,0,-1
