League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
07/25/2018 05:00,JP1,C-Osaka,9379043907148681469912573764471360752304545483186507996424426661232,0,2,51,4,1,3,0,9,2,0,12,2,0,0,0,0,0,0,51,2,2,0,0,6,3,0,13,3,0,0,2,0,0,0,442,0,1,0,0,1,-1
07/25/2018 05:00,JP1,Kashima,4196245969068186223034392365739249594166695836893574532579079780890,2,0,49,4,2,2,0,6,0,0,11,1,0,0,0,0,0,0,49,11,5,6,0,4,0,0,7,2,0,0,0,0,0,0,442,3,-1,1,0,0,-1
05/13/2018 02:00,JP1,FC_Tokyo,25761376114469815702903512838621258197390868179672640189077709806268,0,0,54,6,5,1,0,11,2,0,6,3,0,0,1,0,0,0,46,6,2,4,0,9,2,0,13,3,0,0,0,0,0,0,442,1,1,0,1,0,0
05/13/2018 02:00,JP1,Sapporo,2241648638029914517776267486710370180234226226401216828149467567932,0,0,46,5,3,2,0,13,2,0,7,5,0,0,1,0,0,0,54,4,3,1,0,5,4,0,6,2,0,0,2,0,0,0,343,1,-1,0,1,0,0
05/13/2018 00:00,JP1,Urawa,12277803513596284668678681490685672364591056843865351348739412613579,0,0,59,4,1,3,0,7,6,0,11,1,0,0,0,0,0,0,61,4,2,2,0,11,4,0,14,1,0,0,0,0,0,0,352,1,1,0,1,0,0
05/13/2018 00:00,JP1,Sagan_Tosu,14107688217751634115458862979298242762167742261476935255801736987466,0,0,41,1,1,0,0,4,1,0,7,1,0,0,1,0,0,0,39,2,1,1,0,6,0,0,9,2,0,0,0,0,0,0,532,1,-1,0,1,0,0
05/12/2018 05:00,JP1,Yokohama_M.,16094920739936548237032227990675930372657339450634973912855699429460,1,1,64,6,4,2,0,16,4,0,10,0,0,0,0,0,0,0,62,11,4,7,0,15,4,0,8,3,0,0,0,0,0,0,4141,1,1,0,1,0,0
05/12/2018 05:00,JP1,G-Osaka,25288996196467069381723074202319955899965237197458730157087625107417,1,1,36,0,0,0,0,5,2,0,6,4,0,0,0,0,0,0,38,6,4,2,0,2,1,0,11,3,0,0,0,0,0,0,4312,1,-1,0,1,0,0
05/12/2018 02:00,JP1,Vegalta_Sendai,7809494096275569048641065598574690915786357635383918633229954718299,1,3,50,4,3,1,0,4,1,0,8,1,0,0,0,0,0,0,44,2,1,1,0,9,1,0,10,3,0,0,0,0,0,0,3142,0,1,0,0,1,-1
05/12/2018 02:00,JP1,Hiroshima,22379657337813113839422123288363214537262931752166586978660657845533,3,1,50,5,2,3,0,6,4,0,10,2,0,0,1,0,0,0,56,7,5,2,0,10,6,0,4,1,0,0,1,0,0,0,442,3,-1,1,0,0,-1
