League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/25/2019 13:00,SWD1,Helsingborg,23278733761713296843848361777251478954727706023127875018480510514452,1,1,51,6,1,5,0,6,0,3,0,0,0,0,0,0,0,0,89,33,51,7,5,2,0,1,5,2,0,1,0,0,2,0,0,0,69,41,4231,1,1,0,1,0,0
04/25/2019 13:00,SWD1,Sundsvall,5397766806538714968933194251274589832476851175229542835500544508426,1,1,49,3,0,3,0,8,2,4,0,1,0,0,0,0,0,0,36,12,49,5,2,3,0,12,2,0,0,4,0,0,0,0,0,0,52,22,343,1,-1,0,1,0,0
04/25/2019 13:00,SWD1,Kalmar,12778597981302469093832244299405939543033234184047990948612638420280,1,1,50,4,2,2,0,11,2,0,0,1,0,0,1,0,0,0,73,34,58,3,3,0,0,2,2,1,0,0,0,0,0,0,0,0,40,19,352,1,1,0,1,0,0
04/25/2019 13:00,SWD1,Goteborg,20411174050955706036945192960475241707550621295727866099974205183646,1,1,50,1,1,0,0,8,1,2,0,2,0,0,2,0,0,0,44,10,42,6,1,5,0,7,2,0,0,2,0,0,0,0,0,0,62,13,343,1,-1,0,1,0,0
04/25/2019 12:45,SWD1,Djurgarden,10666449531771754190299027072104534088317235748495486109370857075347,1,1,38,4,1,3,0,5,1,0,0,4,0,0,1,0,0,0,55,29,61,11,6,5,0,8,9,0,0,0,0,0,1,0,0,0,88,56,433,1,1,0,1,0,0
04/25/2019 12:45,SWD1,Norrkoping,8002337253007482190554995196199216879037202064971080374950002412362,1,1,62,7,5,2,0,5,3,2,0,1,0,0,0,0,0,0,53,28,39,4,0,4,0,3,1,1,0,5,0,0,1,0,0,0,33,13,5311,1,-1,0,1,0,0
04/24/2019 13:00,SWD1,AFC_Eskilstuna,8104840324479899351453367225710409958634839223970072805306047376565,0,1,63,4,3,1,0,6,4,0,0,1,0,0,0,0,0,0,64,18,57,5,2,3,0,11,3,0,0,0,0,0,1,0,0,0,71,36,343,0,1,0,0,1,-1
04/24/2019 13:00,SWD1,Ostersunds,24109872346141280406031216977811303527317355822557194511162092957295,1,0,37,4,2,2,0,7,2,2,0,3,0,0,0,0,0,0,49,8,43,1,0,1,0,9,0,4,0,2,0,0,2,0,0,0,40,18,433,3,-1,1,0,0,-1
04/24/2019 13:00,SWD1,AIK,17868139147347388115793344783911259265032365026425253430375882210122,1,0,55,4,2,2,0,10,0,0,14,1,0,0,2,0,0,0,58,26,59,4,3,1,0,11,8,1,18,3,0,0,1,0,0,0,50,37,433,3,1,1,0,0,1
04/24/2019 13:00,SWD1,Hacken,24017463203714998593496097649645241927480643274600717869609893597310,0,1,45,6,1,5,0,10,1,0,14,2,0,0,0,0,0,0,65,14,41,4,3,1,0,8,0,0,11,2,0,0,2,0,0,0,49,10,343,0,-1,0,0,1,1
04/24/2019 13:00,SWD1,Elfsborg,24480689960668744204169380355303715058365597878337004884120212055314,4,2,54,8,4,4,0,4,4,2,0,1,0,0,1,0,0,0,36,23,50,4,2,2,0,4,0,0,0,2,0,0,1,0,0,0,47,28,451,3,1,1,0,0,1
04/24/2019 13:00,SWD1,Orebro,6481680710876632985093317478301285042837944178005994837307947209612,2,4,46,2,1,1,0,6,3,0,0,1,0,0,0,0,0,0,45,30,50,7,4,3,0,9,2,0,0,1,0,0,2,0,0,0,55,35,352,0,-1,0,0,1,1
04/24/2019 13:00,SWD1,Falkenbergs,25753091670856095170941296606292979775386670997162793363026954254448,0,0,57,6,4,2,0,3,4,0,0,1,0,0,0,0,0,0,60,29,48,7,2,5,0,3,5,1,0,2,0,0,0,0,0,0,49,34,352,1,1,0,1,0,0
04/24/2019 13:00,SWD1,Sirius,8518619649542791454014715253339814985389722647692120633098928165606,0,0,43,2,1,1,0,4,2,1,0,4,0,0,0,0,0,0,56,15,52,5,2,3,0,6,4,0,0,2,0,0,0,0,0,0,49,32,442,1,-1,0,1,0,0
04/24/2019 13:00,SWD1,Malmo_FF,20935405712197180225445178292867286655407230775936918304611125881801,4,1,57,5,2,3,0,12,3,0,0,0,0,0,0,0,0,0,72,35,53,3,3,0,0,6,1,0,0,0,0,0,2,0,0,0,59,13,442,3,1,1,0,0,1
04/24/2019 13:00,SWD1,Hammarby,19127471687672143547657268040952149073792084351924173035547866670657,1,4,43,2,1,1,0,6,1,1,0,2,0,0,2,0,0,0,45,14,47,1,0,1,0,6,3,1,0,0,0,0,0,0,0,0,56,30,433,0,-1,0,0,1,1
