League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
03/03/2019 05:35,CHI1,Jiangsu_Suning,21702438001190919162185076747164976716673634405226591310952702135208,3,2,62,8,3,4,1,7,2,0,0,0,8,0,0,264,200,6,48,7,4,2,1,6,2,3,0,0,6,0,0,167,133,9,433,3,1,1,0,0,1
03/03/2019 05:35,CHI1,Tianjin_Teda,3295422735813362537130482040400477420315860459826428972503233130016,2,3,38,3,0,2,1,7,0,0,0,2,7,0,1,160,107,7,52,7,2,2,3,6,4,0,0,2,4,1,3,189,153,5,4231,0,-1,0,0,1,1
03/03/2019 01:30,CHI1,Henan_Jianye,14724524457112933887999949606294475929522337611141035008862806943116,1,1,51,4,3,0,1,11,2,0,0,2,8,0,0,134,95,10,41,6,1,5,0,11,5,1,0,1,7,0,1,131,92,9,532,1,1,0,1,0,0
03/03/2019 01:30,CHI1,Dalian_Yifang_F.C.,23225288706402077055659749953708087459490661618591774897820923422808,1,1,49,8,2,5,1,7,4,2,0,2,12,1,3,120,88,7,59,9,2,4,3,6,2,1,0,1,11,0,0,184,143,11,4231,1,-1,0,1,0,0
03/02/2019 06:00,CHI1,Shenzhen,13101950552299253041273134044967699633601605878408484583850682845577,3,1,37,7,3,2,2,5,0,1,0,1,9,0,2,154,109,8,29,5,3,0,2,8,0,1,0,1,15,0,0,104,66,6,532,3,1,1,0,0,1
03/02/2019 06:00,CHI1,Hebei,19857314038737955857648054606078927779994813134080968704834258982094,1,3,63,7,2,4,1,7,5,0,0,2,6,0,1,252,211,5,71,7,1,3,3,14,7,1,0,1,8,1,1,245,209,6,442,0,-1,0,0,1,1
03/02/2019 01:30,CHI1,Chongqing_Lifan,16026251406737792952045196350449090541447388726267876146864117614900,2,2,38,7,1,5,1,14,2,1,0,3,13,0,2,137,96,9,56,8,2,4,2,8,3,0,0,2,9,0,0,222,175,11,352,1,1,0,1,0,0
03/02/2019 01:30,CHI1,Guangzhou_R&F,6762893228239605803379600306648610097746541531159446123949235136186,2,2,62,9,3,5,1,13,1,0,0,0,14,0,1,213,171,17,44,8,4,3,1,14,0,5,0,1,8,0,2,194,162,21,442,1,-1,0,1,0,0
03/01/2019 06:00,CHI1,Wuhan_Zall,23409257381366619432098798684773494009852281593941843092351474671391,0,1,27,2,0,2,0,6,1,0,0,3,7,0,0,144,94,4,41,10,8,1,1,8,4,0,0,0,8,0,0,184,141,10,433,0,1,0,0,1,-1
03/01/2019 06:00,CHI1,Beijing_Guoan,20508035862808223180048586898706571992891101345669485808211571430432,1,0,73,9,3,3,3,8,4,0,0,0,8,0,0,386,330,7,59,6,1,3,2,8,4,0,0,8,9,0,1,260,220,14,433,3,-1,1,0,0,-1
03/01/2019 05:35,CHI1,Guangzhou_Evergrande,11865022546538649136181850319168633296063689877690577905215274822555,3,0,48,6,2,4,0,7,2,2,0,2,7,1,2,230,194,8,42,6,3,3,0,7,2,3,0,0,7,0,0,200,165,6,433,3,1,1,0,0,1
03/01/2019 05:35,CHI1,Tianjin_Tianhai,588279789962630285231078882984450889891404788882272799937449544165,0,3,52,5,2,2,1,10,1,2,0,0,4,0,0,245,208,4,58,5,0,4,1,7,2,0,0,2,6,0,1,285,240,9,532,0,-1,0,0,1,1
03/01/2019 05:35,CHI1,Shanghai_Shenhua,16770508592370376201731976251022652969811337086856557950877113326069,0,4,41,2,0,1,1,11,2,2,0,0,9,0,1,117,85,1,53,4,1,1,2,5,1,1,0,3,5,1,2,177,137,4,4141,0,1,0,0,1,-1
03/01/2019 05:35,CHI1,Shanghai_SIPG,6369064620048760742886076464912565746721003626709432157109409430905,4,0,59,5,0,4,1,6,4,0,0,0,6,0,1,157,121,11,47,10,6,3,1,7,2,2,0,1,5,0,0,166,130,4,352,3,-1,1,0,0,-1
03/01/2019 04:00,CHI1,Shandong_Luneng,6380774318837999907636871040200435991537581665967759660027635065971,1,0,59,6,0,3,3,6,4,1,0,1,9,0,0,251,207,7,59,10,6,1,3,7,3,0,0,1,12,0,0,230,193,11,4231,3,1,1,0,0,1
03/01/2019 04:00,CHI1,Beijing_Renhe,5522319382127109850364869838224810849376726631851522597270409396365,0,1,41,5,1,3,1,8,1,0,0,0,5,0,0,182,130,5,41,3,1,2,0,14,3,2,0,5,7,0,0,171,131,6,442,0,-1,0,0,1,1
