League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
08/03/2019 07:00,CHI1,Shanghai_SIPG,Shanghai_SIPG,Tianjin_Tianhai,0,0,59,3,2,1,0,1,1,0,0,1,8,0,1,251,210,2,48,20,65,9,3,3,3,5,5,1,0,1,10,1,2,232,188,6,50,30,3421,1,1,0,1,0,0
08/03/2019 07:00,CHI1,Tianjin_Tianhai,Shanghai_SIPG,Tianjin_Tianhai,0,0,41,8,1,4,3,10,3,3,0,2,2,0,2,175,137,6,30,14,35,3,1,1,1,11,2,1,0,3,5,0,2,125,83,4,34,9,4141,1,-1,0,1,0,0
08/03/2019 06:35,CHI1,Shandong_Luneng,Shandong_Luneng,Guangzhou_Evergrande,0,3,32,5,0,4,1,13,1,2,0,1,3,0,0,162,117,9,41,18,34,9,3,3,3,4,3,1,0,3,8,0,1,149,123,11,35,28,442,0,1,0,0,1,-1
08/03/2019 06:35,CHI1,Guangzhou_Evergrande,Shandong_Luneng,Guangzhou_Evergrande,3,0,68,3,1,1,1,3,1,0,0,0,11,0,0,348,300,4,87,27,66,11,6,2,3,9,2,1,0,3,3,0,1,300,273,6,56,19,4231,3,-1,1,0,0,-1
08/03/2019 05:00,CHI1,Tianjin_Teda,Tianjin_Teda,Henan_Jianye,2,0,59,10,4,5,1,10,6,1,0,1,10,0,1,175,144,7,53,26,47,11,5,4,2,8,2,1,0,2,8,1,3,145,113,4,51,22,442,3,1,1,0,0,1
08/03/2019 05:00,CHI1,Henan_Jianye,Tianjin_Teda,Henan_Jianye,0,2,41,3,1,2,0,9,2,0,0,4,10,0,0,127,83,9,42,15,53,5,2,1,2,7,4,0,0,3,8,0,2,176,130,7,58,30,532,0,-1,0,0,1,1
08/02/2019 07:00,CHI1,Beijing_Guoan,Beijing_Guoan,Hebei,2,0,65,6,3,2,1,8,1,0,0,0,7,0,0,324,270,13,79,30,73,16,7,6,3,8,7,1,0,1,4,0,0,240,207,3,62,34,4231,3,1,1,0,0,1
08/02/2019 07:00,CHI1,Hebei,Beijing_Guoan,Hebei,0,2,35,4,0,3,1,7,1,0,0,3,8,0,0,165,117,9,52,19,28,4,1,1,2,5,0,1,0,5,9,0,1,96,58,7,33,7,442,0,-1,0,0,1,1
08/02/2019 07:00,CHI1,Guangzhou_R&F,Guangzhou_R&F,Jiangsu_Suning,2,2,50,4,1,3,0,4,1,0,0,1,10,0,3,194,157,6,39,10,44,2,1,1,0,8,1,1,0,2,11,0,0,183,154,4,37,8,3421,1,1,0,1,0,0
08/02/2019 07:00,CHI1,Jiangsu_Suning,Guangzhou_R&F,Jiangsu_Suning,2,2,50,7,2,1,4,12,0,1,0,0,5,0,0,189,147,4,53,26,56,6,3,2,1,11,1,0,0,0,7,0,1,226,193,8,48,26,442,1,-1,0,1,0,0
08/02/2019 06:35,CHI1,Chongqing_Lifan,Chongqing_Lifan,Dalian_Yifang_F.C.,1,3,40,3,1,2,0,7,1,1,0,0,4,0,0,133,101,4,47,9,46,12,8,2,2,9,5,0,0,2,2,0,0,173,143,6,55,32,4231,0,1,0,0,1,-1
08/02/2019 06:35,CHI1,Dalian_Yifang_F.C.,Chongqing_Lifan,Dalian_Yifang_F.C.,3,1,60,5,1,2,2,4,4,0,0,0,7,0,2,194,149,8,47,21,54,7,4,2,1,3,1,0,0,8,10,0,1,208,173,10,37,17,541,3,-1,1,0,0,-1
08/02/2019 06:35,CHI1,Shanghai_Shenhua,Shanghai_Shenhua,Wuhan_Zall,2,2,44,7,3,3,1,4,3,0,0,0,9,0,1,181,133,10,68,19,50,12,2,6,4,4,6,0,0,2,8,0,1,162,118,11,43,25,442,1,1,0,1,0,0
08/02/2019 06:35,CHI1,Wuhan_Zall,Shanghai_Shenhua,Wuhan_Zall,2,2,56,4,1,2,1,9,2,2,0,1,5,0,1,235,193,11,52,10,50,7,3,2,2,7,0,0,0,2,4,0,2,151,104,3,38,23,4231,1,-1,0,1,0,0
08/02/2019 06:35,CHI1,Shenzhen,Shenzhen,Beijing_Renhe,1,1,53,7,1,4,2,8,2,1,0,0,6,0,0,159,117,8,42,16,59,7,2,4,1,7,1,0,0,1,4,0,1,179,134,9,58,19,4411,1,1,0,1,0,0
08/02/2019 06:35,CHI1,Beijing_Renhe,Shenzhen,Beijing_Renhe,1,1,47,3,1,0,2,7,0,2,0,0,6,0,0,148,106,5,58,21,41,7,1,2,4,6,5,2,0,2,7,0,2,108,62,7,45,15,433,1,-1,0,1,0,0
