League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
07/07/2019 06:35,CHI1,Beijing_Renhe,Beijing_Renhe,Shandong_Luneng,0,2,43,1,1,0,0,8,1,2,0,0,5,0,0,190,164,9,72,16,59,10,0,5,5,4,3,0,0,1,8,0,1,267,228,3,0,0,442,0,1,0,0,1,-1
07/07/2019 06:35,CHI1,Shandong_Luneng,Beijing_Renhe,Shandong_Luneng,2,0,57,4,0,4,0,5,3,0,0,1,6,0,0,257,219,11,55,14,41,5,3,1,1,8,0,0,0,0,5,1,3,191,150,8,0,0,4231,3,-1,1,0,0,-1
07/07/2019 06:35,CHI1,Dalian_Yifang_F.C.,Dalian_Yifang_F.C.,Henan_Jianye,3,1,65,10,3,7,0,7,5,0,0,1,5,0,0,251,218,5,0,0,48,13,3,4,6,4,3,0,0,1,8,0,1,157,125,3,0,0,4231,3,1,1,0,0,1
07/07/2019 06:35,CHI1,Henan_Jianye,Dalian_Yifang_F.C.,Henan_Jianye,1,3,35,6,1,2,3,5,6,0,0,1,10,0,0,131,94,4,0,0,52,8,2,4,2,8,7,1,0,2,4,0,2,163,114,7,0,0,352,0,-1,0,0,1,1
07/07/2019 06:35,CHI1,Hebei,Hebei,Shenzhen,1,1,70,11,3,3,5,4,7,0,0,0,4,0,0,270,222,5,66,25,61,6,2,3,1,12,2,0,0,0,3,0,1,88,69,4,0,0,4141,1,1,0,1,0,0
07/07/2019 06:35,CHI1,Shenzhen,Hebei,Shenzhen,1,1,30,1,0,1,0,5,1,0,0,3,5,0,0,110,72,5,33,7,39,0,0,0,0,8,0,3,0,1,7,0,2,65,49,5,0,0,352,1,-1,0,1,0,0
07/07/2019 04:30,CHI1,Tianjin_Teda,Tianjin_Teda,Jiangsu_Suning,2,1,44,3,2,1,0,7,2,0,0,4,9,0,1,164,119,5,49,10,29,4,1,1,2,11,3,1,0,2,7,0,1,93,57,4,39,18,442,3,1,1,0,0,1
07/07/2019 04:30,CHI1,Jiangsu_Suning,Tianjin_Teda,Jiangsu_Suning,1,2,56,9,4,4,1,10,4,2,0,1,7,0,1,201,157,4,59,35,71,9,3,4,2,6,5,1,0,0,9,0,3,246,212,5,58,21,532,0,-1,0,0,1,1
07/06/2019 06:35,CHI1,Beijing_Guoan,Beijing_Guoan,Wuhan_Zall,3,0,65,13,4,4,5,10,8,1,0,1,7,0,0,237,211,6,56,32,51,7,4,2,1,9,3,1,0,0,6,0,0,189,151,3,42,23,4321,3,1,1,0,0,1
07/06/2019 06:35,CHI1,Wuhan_Zall,Beijing_Guoan,Wuhan_Zall,0,3,35,3,1,2,0,8,1,1,0,3,11,0,3,135,93,6,36,10,49,3,0,2,1,8,3,0,0,2,11,0,1,185,143,8,37,15,541,0,-1,0,0,1,1
07/06/2019 06:35,CHI1,Guangzhou_R&F,Guangzhou_R&F,Chongqing_Lifan,4,2,61,8,3,2,3,7,3,1,0,2,6,0,0,250,215,15,38,27,55,9,5,3,1,10,2,0,0,4,8,0,1,189,151,7,40,15,442,3,1,1,0,0,1
07/06/2019 06:35,CHI1,Chongqing_Lifan,Guangzhou_R&F,Chongqing_Lifan,2,4,39,5,3,1,1,8,2,2,0,2,7,0,0,160,120,10,65,12,45,9,5,3,1,8,1,0,0,2,10,0,1,159,125,5,54,23,4231,0,-1,0,0,1,1
07/06/2019 06:35,CHI1,Shanghai_SIPG,Shanghai_SIPG,Shanghai_Shenhua,3,1,50,4,1,2,1,6,0,0,0,1,12,0,1,212,180,6,55,13,56,12,4,4,4,10,3,1,0,0,5,0,2,171,137,8,61,21,3142,3,1,1,0,0,1
07/06/2019 06:35,CHI1,Shanghai_Shenhua,Shanghai_SIPG,Shanghai_Shenhua,1,3,50,6,1,2,3,9,1,0,0,0,5,0,0,207,169,6,45,12,44,6,1,4,1,4,0,1,0,2,11,0,2,131,96,6,35,7,532,0,-1,0,0,1,1
07/05/2019 06:35,CHI1,Tianjin_Tianhai,Tianjin_Tianhai,Guangzhou_Evergrande,1,3,38,10,3,4,3,7,2,0,0,1,8,0,0,163,127,6,52,15,50,4,0,2,2,4,0,0,0,4,6,0,0,204,150,9,62,12,4141,0,1,0,0,1,-1
07/05/2019 06:35,CHI1,Guangzhou_Evergrande,Tianjin_Tianhai,Guangzhou_Evergrande,3,1,62,5,2,2,1,8,0,0,0,2,6,0,1,258,216,9,52,10,50,13,6,6,1,8,3,2,0,0,4,0,2,211,167,12,58,24,4231,3,-1,1,0,0,-1
