League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
05/19/2019 06:35,CHI1,Shenzhen,Shenzhen,Dalian_Yifang_F.C.,1,2,33,6,3,3,0,8,4,0,0,0,5,0,0,121,88,5,34,14,51,4,1,2,1,8,1,1,0,1,4,0,2,165,140,9,36,19,532,0,1,0,0,1,-1
05/19/2019 06:35,CHI1,Dalian_Yifang_F.C.,Shenzhen,Dalian_Yifang_F.C.,2,1,67,2,0,1,1,6,2,0,0,2,7,1,3,257,212,5,48,15,49,6,3,3,0,4,2,1,0,1,6,0,1,154,121,3,48,26,442,3,-1,1,0,0,-1
05/19/2019 02:30,CHI1,Tianjin_Teda,Tianjin_Teda,Hebei,2,0,66,4,1,2,1,8,2,1,0,0,5,0,0,342,300,8,71,23,46,7,4,0,3,5,1,0,0,1,10,0,2,164,127,6,33,18,442,3,1,1,0,0,1
05/19/2019 02:30,CHI1,Hebei,Tianjin_Teda,Hebei,0,2,34,1,0,1,0,5,1,0,0,1,7,0,1,175,136,5,48,8,54,4,1,3,0,10,5,1,0,2,7,0,1,213,173,6,58,33,3421,0,-1,0,0,1,1
05/18/2019 06:35,CHI1,Jiangsu_Suning,Jiangsu_Suning,Chongqing_Lifan,3,1,53,4,2,1,1,11,2,2,0,0,7,0,1,198,153,9,43,12,65,13,4,8,1,13,2,2,0,3,6,0,3,234,195,3,43,32,442,3,1,1,0,0,1
05/18/2019 06:35,CHI1,Chongqing_Lifan,Jiangsu_Suning,Chongqing_Lifan,1,3,47,5,1,3,1,6,2,1,0,2,11,0,1,173,127,4,39,16,35,6,3,2,1,6,1,0,0,1,10,1,3,134,84,8,45,10,433,0,-1,0,0,1,1
05/18/2019 02:30,CHI1,Guangzhou_R&F,Guangzhou_R&F,Beijing_Renhe,3,1,60,9,2,4,3,9,3,1,0,2,3,0,2,280,248,4,51,41,64,11,6,2,3,5,5,3,0,1,4,0,0,273,246,7,48,37,343,3,1,1,0,0,1
05/18/2019 02:30,CHI1,Beijing_Renhe,Guangzhou_R&F,Beijing_Renhe,1,3,40,5,3,1,1,2,2,0,0,1,8,0,1,184,147,4,34,17,36,5,1,3,1,5,0,2,0,4,2,0,1,156,133,5,40,25,442,0,-1,0,0,1,1
05/17/2019 07:00,CHI1,Shanghai_Shenhua,Shanghai_Shenhua,Shandong_Luneng,1,3,42,7,2,3,2,6,3,1,0,1,2,0,0,175,142,14,54,16,50,9,2,2,5,4,6,0,0,2,3,0,1,202,178,11,60,28,451,0,1,0,0,1,-1
05/17/2019 07:00,CHI1,Shandong_Luneng,Shanghai_Shenhua,Shandong_Luneng,3,1,58,8,2,2,4,3,3,0,0,1,5,0,0,238,193,10,63,29,50,8,4,1,3,4,3,0,0,2,5,0,0,210,176,9,41,26,4231,3,-1,1,0,0,-1
05/17/2019 06:35,CHI1,Beijing_Guoan,Beijing_Guoan,Tianjin_Tianhai,2,1,63,9,6,3,0,8,7,0,0,0,7,0,0,278,241,13,74,33,67,9,5,4,0,7,4,1,0,0,5,0,1,335,299,8,58,29,4312,3,1,1,0,0,1
05/17/2019 06:35,CHI1,Tianjin_Tianhai,Beijing_Guoan,Tianjin_Tianhai,1,2,37,4,0,1,3,6,2,0,0,5,8,0,1,161,112,10,41,14,33,7,1,3,3,5,1,0,0,4,5,0,0,152,127,7,36,11,4231,0,-1,0,0,1,1
05/17/2019 06:35,CHI1,Wuhan_Zall,Wuhan_Zall,Guangzhou_Evergrande,2,3,34,7,3,2,2,7,3,2,0,1,9,0,0,126,87,7,30,14,40,11,2,6,3,9,4,1,0,3,6,0,0,139,108,6,28,18,451,0,1,0,0,1,-1
05/17/2019 06:35,CHI1,Guangzhou_Evergrande,Wuhan_Zall,Guangzhou_Evergrande,3,2,66,9,1,6,2,9,0,1,0,2,5,0,3,252,220,8,52,16,60,8,6,1,1,2,4,0,0,1,14,0,0,203,172,4,42,22,4231,3,-1,1,0,0,-1
05/17/2019 05:00,CHI1,Henan_Jianye,Henan_Jianye,Shanghai_SIPG,0,1,39,1,0,0,1,5,1,0,0,1,9,0,0,170,130,7,49,21,53,5,2,2,1,10,6,0,0,1,11,0,1,198,143,8,61,27,352,0,1,0,0,1,-1
05/17/2019 05:00,CHI1,Shanghai_SIPG,Henan_Jianye,Shanghai_SIPG,1,0,61,7,2,3,2,7,2,0,0,0,5,0,1,255,227,11,70,22,47,2,1,1,0,10,2,1,0,2,10,0,1,181,128,5,36,13,352,3,-1,1,0,0,-1
