League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
06/08/2019 06:35,CHI1,Wuhan_Zall,23409257381366619432098798684773494009852281593941843092351474671391,0,0,58,6,0,2,4,2,2,1,0,1,7,0,1,289,254,14,62,2,0,0,2,6,2,0,0,2,5,0,0,286,250,8,451,1,1,0,1,0,0
06/08/2019 06:35,CHI1,Henan_Jianye,14724524457112933887999949606294475929522337611141035008862806943116,0,0,42,3,1,2,0,7,1,0,0,0,3,0,1,200,170,7,38,3,2,0,1,6,2,0,0,0,8,0,3,164,127,4,532,1,-1,0,1,0,0
04/07/2019 06:35,CHI1,Shanghai_Shenhua,16770508592370376201731976251022652969811337086856557950877113326069,5,1,57,6,3,1,2,2,3,0,0,1,3,0,0,260,215,10,51,10,4,3,3,9,8,1,0,0,7,0,1,199,162,6,352,3,1,1,0,0,1
04/07/2019 06:35,CHI1,Beijing_Renhe,5522319382127109850364869838224810849376726631851522597270409396365,1,5,43,4,1,1,2,4,1,1,0,0,3,0,0,200,158,9,49,5,1,3,1,8,1,1,0,2,9,0,1,197,167,5,343,0,-1,0,0,1,1
04/07/2019 02:30,CHI1,Dalian_Yifang_F.C.,23225288706402077055659749953708087459490661618591774897820923422808,1,2,41,8,1,3,4,13,3,1,0,2,8,0,1,136,93,11,48,10,2,3,5,7,7,0,0,3,12,0,1,149,109,3,343,0,1,0,0,1,-1
04/07/2019 02:30,CHI1,Tianjin_Teda,3295422735813362537130482040400477420315860459826428972503233130016,2,1,59,7,3,3,1,7,0,0,0,1,11,0,2,195,157,7,52,8,4,3,1,11,1,0,0,1,7,0,0,175,132,7,433,3,-1,1,0,0,-1
04/06/2019 06:35,CHI1,Guangzhou_Evergrande,11865022546538649136181850319168633296063689877690577905215274822555,2,0,52,12,3,6,3,2,4,0,0,1,3,0,0,262,228,8,44,8,4,1,3,3,9,3,0,0,6,0,1,172,144,10,4141,3,1,1,0,0,1
04/06/2019 06:35,CHI1,Guangzhou_R&F,6762893228239605803379600306648610097746541531159446123949235136186,0,2,48,7,1,3,3,4,1,1,0,2,2,0,0,248,199,7,56,7,0,2,5,8,2,2,0,3,2,0,0,226,202,11,343,0,-1,0,0,1,1
04/06/2019 02:30,CHI1,Tianjin_Tianhai,588279789962630285231078882984450889891404788882272799937449544165,0,0,53,5,1,2,2,9,3,1,0,0,6,0,0,244,194,4,43,4,0,3,1,11,0,0,0,0,5,0,0,182,126,4,442,1,1,0,1,0,0
04/06/2019 02:30,CHI1,Hebei,19857314038737955857648054606078927779994813134080968704834258982094,0,0,47,3,0,3,0,4,1,0,0,1,9,0,0,209,166,7,57,4,0,3,1,6,5,0,0,0,11,0,1,247,188,9,4132,1,-1,0,1,0,0
04/05/2019 06:35,CHI1,Beijing_Guoan,20508035862808223180048586898706571992891101345669485808211571430432,3,0,67,9,2,1,6,8,4,1,0,1,9,1,2,309,263,7,41,7,4,3,0,9,0,1,0,3,8,0,1,115,83,10,442,3,1,1,0,0,1
04/05/2019 06:35,CHI1,Jiangsu_Suning,21702438001190919162185076747164976716673634405226591310952702135208,0,3,33,3,1,2,0,10,1,0,0,1,8,0,1,142,99,9,59,6,3,3,0,8,2,0,0,2,9,1,3,201,171,12,4231,0,-1,0,0,1,1
04/05/2019 06:35,CHI1,Shanghai_SIPG,6369064620048760742886076464912565746721003626709432157109409430905,2,3,62,2,1,1,0,7,0,0,0,2,8,0,0,243,197,10,66,6,3,2,1,7,6,1,0,3,15,0,3,215,179,7,4141,0,1,0,0,1,-1
04/05/2019 06:35,CHI1,Chongqing_Lifan,16026251406737792952045196350449090541447388726267876146864117614900,3,2,38,6,4,1,1,10,3,1,0,1,7,0,1,145,107,6,34,4,4,0,0,13,0,0,0,1,6,0,2,113,75,9,4231,3,-1,1,0,0,-1
04/05/2019 06:35,CHI1,Shenzhen,13101950552299253041273134044967699633601605878408484583850682845577,1,1,41,8,0,6,2,5,3,1,0,1,10,0,1,144,97,6,29,6,2,4,0,6,0,1,0,1,3,0,0,116,71,4,532,1,1,0,1,0,0
04/05/2019 06:35,CHI1,Shandong_Luneng,6380774318837999907636871040200435991537581665967759660027635065971,1,1,59,4,1,3,0,11,2,1,0,0,4,0,1,213,155,7,71,9,2,5,2,4,4,1,0,1,4,0,0,264,205,3,442,1,-1,0,1,0,0
