League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/28/2019 06:35,CHI1,Beijing_Guoan,Beijing_Guoan,Dalian_Yifang_F.C.,4,1,73,8,5,2,1,8,1,1,0,1,9,0,3,334,299,8,50,16,49,7,3,3,1,5,0,0,0,1,8,0,0,232,194,7,50,9,442,3,1,1,0,0,1
04/28/2019 06:35,CHI1,Dalian_Yifang_F.C.,Beijing_Guoan,Dalian_Yifang_F.C.,1,4,27,3,1,0,2,8,1,0,0,2,9,0,1,119,79,6,37,11,51,7,2,3,2,6,4,0,0,2,5,0,1,221,177,8,57,26,4312,0,-1,0,0,1,1
04/28/2019 06:35,CHI1,Shandong_Luneng,Shandong_Luneng,Wuhan_Zall,3,0,40,5,3,1,1,2,1,1,0,0,7,0,0,214,172,6,62,24,40,7,3,4,0,2,0,0,0,3,6,0,1,198,156,7,57,27,442,3,1,1,0,0,1
04/28/2019 06:35,CHI1,Wuhan_Zall,Shandong_Luneng,Wuhan_Zall,0,3,60,2,0,2,0,7,2,0,0,1,1,0,0,327,278,13,69,14,60,10,3,4,3,5,5,1,0,2,2,0,0,294,249,9,86,28,4141,0,-1,0,0,1,1
04/28/2019 06:00,CHI1,Chongqing_Lifan,Chongqing_Lifan,Guangzhou_Evergrande,0,1,36,4,1,3,0,8,0,2,0,0,9,0,0,119,80,6,46,15,34,4,1,1,2,12,3,1,0,3,7,0,2,115,71,7,33,18,4231,0,1,0,0,1,-1
04/28/2019 06:00,CHI1,Guangzhou_Evergrande,Chongqing_Lifan,Guangzhou_Evergrande,1,0,64,10,1,6,3,16,1,6,0,1,6,0,0,219,177,8,46,20,66,11,3,6,2,9,2,2,0,1,10,0,0,232,200,9,46,24,4231,3,-1,1,0,0,-1
04/28/2019 02:30,CHI1,Tianjin_Teda,Tianjin_Teda,Shanghai_SIPG,0,2,47,5,3,2,0,7,6,1,0,2,10,0,0,183,141,9,62,54,59,5,0,4,1,9,2,0,0,3,4,1,0,224,179,4,66,41,433,0,1,0,0,1,-1
04/28/2019 02:30,CHI1,Shanghai_SIPG,Tianjin_Teda,Shanghai_SIPG,2,0,53,5,3,2,0,8,2,0,0,3,7,0,1,210,172,6,48,35,41,10,4,3,3,4,4,2,0,0,10,0,2,158,114,3,49,31,343,3,-1,1,0,0,-1
04/27/2019 06:35,CHI1,Henan_Jianye,Henan_Jianye,Jiangsu_Suning,2,1,25,4,3,0,1,6,1,0,0,0,13,0,1,100,55,10,36,19,31,3,2,1,0,9,1,0,0,0,9,0,2,109,64,1,31,25,532,3,1,1,0,0,1
04/27/2019 06:35,CHI1,Jiangsu_Suning,Henan_Jianye,Jiangsu_Suning,1,2,75,7,0,5,2,13,3,0,0,2,6,0,2,294,249,5,58,38,69,6,1,3,2,8,5,1,0,1,7,0,1,257,207,4,57,44,442,0,-1,0,0,1,1
04/27/2019 06:35,CHI1,Shanghai_Shenhua,Shanghai_Shenhua,Tianjin_Tianhai,2,3,41,5,1,3,1,7,0,0,0,0,7,1,1,199,167,4,52,16,55,18,4,6,8,9,6,2,0,1,3,0,2,218,183,7,59,30,442,0,1,0,0,1,-1
04/27/2019 06:35,CHI1,Tianjin_Tianhai,Shanghai_Shenhua,Tianjin_Tianhai,3,2,59,5,1,3,1,11,2,1,0,1,7,0,2,276,242,7,54,18,45,5,3,1,1,4,0,0,0,2,10,0,3,190,156,5,39,13,4231,3,-1,1,0,0,-1
04/27/2019 02:30,CHI1,Hebei,Hebei,Beijing_Renhe,1,1,70,8,0,6,2,7,5,0,0,0,6,0,1,295,245,9,58,46,74,13,3,6,4,3,4,0,0,1,7,0,0,298,246,6,69,50,442,1,1,0,1,0,0
04/27/2019 02:30,CHI1,Beijing_Renhe,Hebei,Beijing_Renhe,1,1,30,1,1,0,0,7,0,1,0,0,8,0,0,130,80,7,31,15,26,3,1,2,0,9,0,2,0,2,4,1,3,107,57,12,38,8,442,1,-1,0,1,0,0
04/26/2019 06:35,CHI1,Guangzhou_R&F,Guangzhou_R&F,Shenzhen,3,1,73,7,3,3,1,7,1,0,0,1,1,0,0,322,286,6,67,32,45,6,1,5,0,9,0,2,0,3,8,0,1,137,106,6,36,18,433,3,1,1,0,0,1
04/26/2019 06:35,CHI1,Shenzhen,Guangzhou_R&F,Shenzhen,1,3,27,7,2,3,2,1,4,0,0,1,7,0,2,115,71,11,35,23,55,12,3,5,4,10,1,2,0,0,8,0,2,194,161,7,53,46,532,0,-1,0,0,1,1
