League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/21/2019 06:35,CHI1,Wuhan_Zall,Wuhan_Zall,Shanghai_Shenhua,1,1,56,7,1,4,2,3,4,0,0,2,3,0,0,238,209,8,35,19,56,6,0,4,2,12,5,3,0,2,7,0,0,202,161,5,36,32,343,1,1,0,1,0,0
04/21/2019 06:35,CHI1,Shanghai_Shenhua,Wuhan_Zall,Shanghai_Shenhua,1,1,44,9,3,3,3,4,1,2,0,0,7,0,0,181,148,5,35,12,44,6,2,3,1,10,2,1,0,0,9,0,0,158,122,7,43,16,352,1,-1,0,1,0,0
04/21/2019 04:30,CHI1,Jiangsu_Suning,Jiangsu_Suning,Guangzhou_R&F,5,1,39,7,5,1,1,4,1,0,0,1,7,0,0,176,139,5,51,18,53,7,3,3,1,6,1,1,0,1,4,0,0,281,241,6,67,21,4231,3,1,1,0,0,1
04/21/2019 04:30,CHI1,Guangzhou_R&F,Jiangsu_Suning,Guangzhou_R&F,1,5,61,6,2,3,1,8,2,2,0,2,5,0,1,267,228,11,38,6,47,3,1,1,1,4,2,0,0,1,6,0,1,239,195,4,59,19,532,0,-1,0,0,1,1
04/21/2019 02:30,CHI1,Dalian_Yifang_F.C.,Dalian_Yifang_F.C.,Chongqing_Lifan,1,1,58,8,3,1,4,7,5,1,0,1,4,0,0,208,165,7,58,24,54,7,2,2,3,10,0,2,0,0,5,0,0,168,116,9,52,28,4231,1,1,0,1,0,0
04/21/2019 02:30,CHI1,Chongqing_Lifan,Dalian_Yifang_F.C.,Chongqing_Lifan,1,1,42,5,1,2,2,4,4,0,0,3,7,0,0,147,93,8,38,16,46,5,1,3,1,4,2,0,0,1,7,0,3,140,95,7,52,12,4231,1,-1,0,1,0,0
04/20/2019 06:35,CHI1,Hebei,Hebei,Beijing_Guoan,0,1,32,4,1,2,1,4,3,0,0,1,8,0,1,145,91,13,49,32,40,7,2,4,1,8,7,1,0,1,6,0,1,147,104,4,57,48,442,0,1,0,0,1,-1
04/20/2019 06:35,CHI1,Beijing_Guoan,Hebei,Beijing_Guoan,1,0,68,8,1,6,1,9,2,3,0,1,5,0,0,313,266,5,60,44,60,4,2,2,0,5,0,1,0,2,8,0,2,237,189,9,62,38,4231,3,-1,1,0,0,-1
04/20/2019 06:35,CHI1,Henan_Jianye,Henan_Jianye,Tianjin_Teda,2,3,53,8,2,4,2,7,4,0,0,2,7,0,0,218,167,9,52,33,49,11,7,2,2,5,3,0,0,4,10,0,1,133,87,9,47,37,541,0,1,0,0,1,-1
04/20/2019 06:35,CHI1,Tianjin_Teda,Henan_Jianye,Tianjin_Teda,3,2,47,6,4,0,2,8,1,3,0,2,5,0,0,183,132,9,40,23,51,10,5,5,0,10,1,0,0,5,6,0,2,158,118,8,53,39,442,3,-1,1,0,0,-1
04/20/2019 02:30,CHI1,Beijing_Renhe,Beijing_Renhe,Shenzhen,2,2,57,7,2,3,2,13,5,0,0,0,6,0,1,176,122,5,51,45,51,8,5,2,1,9,3,0,0,1,8,0,1,150,108,5,42,31,433,1,1,0,1,0,0
04/20/2019 02:30,CHI1,Shenzhen,Beijing_Renhe,Shenzhen,2,2,43,3,1,1,1,6,0,0,0,2,12,0,0,136,86,13,48,27,49,4,2,1,1,6,1,0,0,3,7,0,1,156,102,6,57,31,532,1,-1,0,1,0,0
04/19/2019 06:35,CHI1,Guangzhou_Evergrande,Guangzhou_Evergrande,Shandong_Luneng,2,1,48,11,5,2,4,5,7,0,0,2,4,0,0,178,141,11,43,17,56,7,2,4,1,7,5,0,0,1,5,0,1,201,159,7,55,22,4141,3,1,1,0,0,1
04/19/2019 06:35,CHI1,Shandong_Luneng,Guangzhou_Evergrande,Shandong_Luneng,1,2,52,6,3,3,0,4,2,1,0,4,5,0,0,190,151,10,49,34,44,2,1,1,0,7,5,1,0,1,7,0,2,145,94,13,41,28,442,0,-1,0,0,1,1
04/19/2019 06:35,CHI1,Tianjin_Tianhai,Tianjin_Tianhai,Shanghai_SIPG,0,0,39,2,0,1,1,7,2,1,0,1,8,0,1,188,151,9,40,34,45,12,2,5,5,11,4,0,0,1,7,0,1,165,129,4,42,35,4231,1,1,0,1,0,0
04/19/2019 06:35,CHI1,Shanghai_SIPG,Tianjin_Tianhai,Shanghai_SIPG,0,0,61,2,1,0,1,9,2,0,0,0,8,0,1,289,260,6,40,32,55,8,1,4,3,8,1,1,0,2,10,0,2,191,157,4,46,32,3142,1,-1,0,1,0,0
