League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
06/02/2019 06:35,CHI1,Henan_Jianye,14724524457112933887999949606294475929522337611141035008862806943116,2,5,48,5,2,0,3,6,4,0,0,1,5,0,1,187,130,9,42,11,6,3,2,4,6,1,0,0,7,0,0,153,116,4,532,0,1,0,0,1,-1
06/02/2019 06:35,CHI1,Guangzhou_Evergrande,11865022546538649136181850319168633296063689877690577905215274822555,5,2,52,3,3,0,0,4,1,1,0,2,7,0,1,199,165,5,58,5,3,2,0,6,6,1,0,4,6,0,0,210,167,4,4231,3,-1,1,0,0,-1
06/02/2019 06:35,CHI1,Tianjin_Teda,3295422735813362537130482040400477420315860459826428972503233130016,1,2,32,10,2,6,2,3,4,0,0,3,4,0,1,136,104,6,36,6,2,1,3,4,5,1,0,1,7,0,2,170,133,13,442,0,1,0,0,1,-1
06/02/2019 06:35,CHI1,Beijing_Guoan,20508035862808223180048586898706571992891101345669485808211571430432,2,1,68,11,4,4,3,5,5,2,0,1,3,0,0,296,261,10,64,7,2,3,2,7,3,0,0,2,6,0,0,329,296,9,4321,3,-1,1,0,0,-1
06/02/2019 02:00,CHI1,Dalian_Yifang_F.C.,23225288706402077055659749953708087459490661618591774897820923422808,1,2,44,2,0,2,0,8,0,0,0,2,12,0,2,156,104,7,56,5,1,3,1,7,5,0,0,2,10,0,2,186,133,7,4231,0,1,0,0,1,-1
06/02/2019 02:00,CHI1,Shanghai_SIPG,6369064620048760742886076464912565746721003626709432157109409430905,2,1,56,7,4,2,1,13,2,0,0,0,8,0,0,198,154,2,44,4,2,2,0,14,4,3,0,0,8,0,1,148,97,7,343,3,-1,1,0,0,-1
06/01/2019 06:35,CHI1,Beijing_Renhe,5522319382127109850364869838224810849376726631851522597270409396365,2,0,45,6,5,1,0,5,1,0,0,0,9,0,1,189,152,6,31,4,2,2,0,4,1,1,0,8,5,0,1,121,72,4,442,3,1,1,0,0,1
06/01/2019 06:35,CHI1,Tianjin_Tianhai,588279789962630285231078882984450889891404788882272799937449544165,0,2,55,12,0,5,7,8,4,0,0,4,5,0,1,226,185,11,69,16,8,6,2,5,9,0,0,1,3,0,0,268,226,6,4231,0,-1,0,0,1,1
06/01/2019 06:35,CHI1,Guangzhou_R&F,6762893228239605803379600306648610097746541531159446123949235136186,2,2,66,7,0,6,1,8,2,2,0,1,6,0,1,282,257,2,74,13,4,5,4,3,2,0,0,1,4,0,0,291,268,5,541,1,1,0,1,0,0
06/01/2019 06:35,CHI1,Hebei,19857314038737955857648054606078927779994813134080968704834258982094,2,2,34,7,2,5,0,6,3,0,0,0,6,0,1,135,110,9,26,10,2,7,1,5,1,1,0,2,3,0,1,98,73,12,541,1,-1,0,1,0,0
06/01/2019 06:35,CHI1,Shandong_Luneng,6380774318837999907636871040200435991537581665967759660027635065971,1,1,49,2,1,1,0,8,1,1,0,4,11,0,1,240,198,5,47,4,1,3,0,4,0,0,0,0,6,0,4,166,119,4,442,1,1,0,1,0,0
06/01/2019 06:35,CHI1,Jiangsu_Suning,21702438001190919162185076747164976716673634405226591310952702135208,1,1,51,4,4,0,0,12,1,1,0,1,8,0,1,251,215,10,53,2,1,1,0,9,3,2,0,0,5,0,4,191,149,3,541,1,-1,0,1,0,0
06/01/2019 06:35,CHI1,Shanghai_Shenhua,16770508592370376201731976251022652969811337086856557950877113326069,0,0,66,5,3,2,0,12,1,2,0,0,9,0,1,291,256,8,62,9,3,5,1,11,1,2,0,2,8,0,1,226,173,4,442,1,1,0,1,0,0
06/01/2019 06:35,CHI1,Chongqing_Lifan,16026251406737792952045196350449090541447388726267876146864117614900,0,0,34,1,0,0,1,9,0,0,0,3,10,0,0,156,120,6,38,3,2,1,0,8,2,0,0,3,9,0,2,143,96,2,541,1,-1,0,1,0,0
06/01/2019 06:35,CHI1,Wuhan_Zall,23409257381366619432098798684773494009852281593941843092351474671391,2,0,44,4,2,2,0,13,0,2,0,2,6,0,0,197,152,10,34,6,3,2,1,5,1,1,0,1,9,0,1,109,75,2,451,3,1,1,0,0,1
06/01/2019 06:35,CHI1,Shenzhen,13101950552299253041273134044967699633601605878408484583850682845577,0,2,56,5,2,2,1,11,1,1,0,1,15,0,1,239,177,5,66,5,1,1,3,2,3,0,0,2,12,0,1,233,187,5,541,0,-1,0,0,1,1
